Ticker,ShortName,Sector,Region,Country,AverageRating
HENAGK,Henkel AG & Co KGaA,Basic Materials,Europe,Germany,Upper Medium Grade
HESLAN,Landbk Hessen thueringen Giroz,Financials,Europe,Germany,Upper Medium Grade
HOFP,THALES,Industrials,Europe,France,Lower Medium Grade
HSBC,HSBC Hldgs plc,Financials,Europe,United Kingdom,Upper Medium Grade
HSBC-HSBCBank,HSBC Bk plc,Financials,Europe,United Kingdom,Upper Medium Grade
IBERDU,Iberdrola S A,Utilities,Europe,Spain,Upper Medium Grade
IBERDU-Intl,Iberdrola Intl BV,Utilities,Europe,Netherlands,Lower Medium Grade
IBERDU-ScotPwr,Scottish Pwr Ltd,Utilities,Europe,United Kingdom,Extremely Speculative
ICELND,Rep Iceland,Government,Europe,Iceland,Lower Medium Grade
IFX-HldgBV,Infineon Tech Hldg B V,Technology,Europe,Netherlands,Lower Medium Grade
IHOT,INTERCONTINENTAL HOTELS LTD,Consumer Services,Europe,United Kingdom,Lower Medium Grade
III,3i Gp plc,Financials,Europe,United Kingdom,Lower Medium Grade
IKB,IKB Deutsche Industriebank AG,Financials,Europe,Germany,Lower Medium Grade
INTNED,ING Groep NV,Financials,Europe,Netherlands,Upper Medium Grade
INTNED-BankNV,ING Bk N V,Financials,Europe,Netherlands,Upper Medium Grade
INVSA,Inv AB,Financials,Europe,Sweden,Extremely Speculative
IRELND,Rep Irlnd,Government,Europe,Ireland,Lower Medium Grade
ISSAS-Global,ISS Glob A S,Financials,Europe,Denmark,Lower Medium Grade
ITALY,Rep Italy,Government,Europe,Italy,Lower Medium Grade
ITV,ITV Plc,Consumer Services,Europe,United Kingdom,Extremely Speculative
ITV-Carlton,CARLTON Comms Ltd,Consumer Services,Europe,United Kingdom,Lower Medium Grade
JAPTOB-GGL,GALLAHER GROUP Ltd,Consumer Goods,Europe,United Kingdom,Lower Medium Grade
KDSM,Koninklijke DSM NV,Basic Materials,Europe,Netherlands,Lower Medium Grade
KEL-YorkWat,YORKSHIRE WATER SERVICES Ltd,Utilities,Europe,United Kingdom,Lower Medium Grade
KEL-YorkWatfltd,YORKSHIRE WATER SERVICES Fin Ltd,Utilities,Europe,United Kingdom,Lower Medium Grade
KINGFI,Kingfisher PLC,Consumer Services,Europe,United Kingdom,Lower Medium Grade
KPN,Koninklijke KPN N V,Telecommunications,Europe,Netherlands,Lower Medium Grade
KRCP-BankNV,KBC Bk,Financials,Europe,Belgium,Lower Medium Grade
