Date,Intersection Normal,Intersection Communities,CSRA Normal,CSRA Communities
2010-09-14,62.61199233989109,61.18515038333599,48.52702630672564,52.087664106941354
2011-02-01,62.60167591312944,62.88377737637727,46.33070886301618,50.09275379205721
2011-06-21,62.691933752481845,63.62929023959861,44.99300370889368,49.11953298830719
2011-11-08,74.78488590505853,73.75940478683974,47.22776373993304,51.346773425045534
2012-03-27,73.61780614715704,73.12549478796126,48.89960047919035,53.68743692341975
2012-08-14,76.12574894652533,73.9313578908933,48.26572280786077,52.99729826870404
2013-01-01,63.40192790370052,60.15039494298454,45.162360991758895,49.58740924875546
2013-05-21,65.04843523459166,63.0914766212269,45.94595345910255,51.022913360915126
2013-10-08,62.77329263128322,61.126926490585866,44.88610662371576,49.26882079562079
2014-02-25,55.08733363308424,53.11074214599603,43.76159520217244,48.636973236143874
2014-07-15,52.099348219163154,50.47543906420773,42.558120415191276,45.733969714271616
2014-12-02,54.13934394007214,51.89348728547555,44.86140203130004,47.89255618184668
2015-04-21,57.81964824040926,57.15589764617126,45.577511137153806,48.09846112901426
2015-09-08,53.03490686164108,52.83457388298027,41.739095600953846,45.384093930397015
2016-01-26,62.608231794294475,60.22180140224875,46.800172442196434,49.11091994755809
2016-06-14,57.88047002660161,57.39693760051985,43.25625051061308,47.26679331467288
2016-11-01,55.484762585570344,54.917338281034155,44.62996185057585,47.67892080194823
2017-03-21,52.237565735210666,52.34211030045625,42.78148137379289,45.190209007592905
2017-08-08,55.95096172446807,55.52331747387013,51.30511285900011,50.94066434534375
2017-12-26,61.195916468742965,58.834981743457824,57.50187568541876,56.13864612792684
2018-05-15,56.703658368686035,56.97243339444648,54.20123811884956,54.22783662021736
2018-10-02,59.898524460745136,61.20680386792785,52.171983991412006,53.958546602945376
2019-02-19,64.49119474244078,66.6326763443791,56.40699115639315,59.54590776220974
2019-07-09,69.54205143198702,68.17898131394848,63.904591052239404,63.93587853506438
2019-11-26,67.5540055736833,65.45485863771593,65.36235713639844,64.16176343479977
2020-04-14,83.26166254140924,82.49567763494947,68.73579138910807,71.05093304591787
