Ticker,ShortName,Sector,Region,Country,AverageRating
KRCP-BankNV,KBC Bk,Financials,Europe,Belgium,Medium Grade
LAFCP,Lafarge,Industrials,Europe,France,Medium Grade
LAGARD,Lagardere Societes,Consumer Services,Europe,France,Medium Grade
LAND-SecPlc,Ld Secs PLC,Financials,Europe,United Kingdom,Medium Grade
LAVORO,Bca Naz del Lavoro S p A,Financials,Europe,Italy,Medium Grade
LAZIO,Lazio Region,Government,Europe,Italy,Medium Grade
LBTG-UPC,UPC Hldg BV,Consumer Services,Europe,Netherlands,Medium Grade
LBW,Landbk Baden Wuertbg,Financials,Europe,Germany,Medium Grade
LGEN,Legal & Gen Gp PLC,Financials,Europe,United Kingdom,Medium Grade
LGRDSA-frnc,Legrand France,Industrials,Europe,France,Speculative Grade
LIFP,Klepierre,Financials,Europe,France,High Grade
LINDE,Linde AG,Basic Materials,Europe,Germany,Speculative Grade
LMETEL,TelefonAB L M Ericsson,Technology,Europe,Sweden,Medium Grade
LNX,Lanxess,Basic Materials,Europe,Germany,Speculative Grade
LOREAL,L'Oreal,Consumer Goods,Europe,France,High Grade
LUFTHA,Deutsche Lufthansa AG,Consumer Services,Europe,Germany,Medium Grade
MANSE,MAN SE,Industrials,Europe,Germany,Speculative Grade
METSO,Metso Corp,Industrials,Europe,Finland,Medium Grade
MICHLN,CIE GENERALE des ETABLISSEMENTS MICHELIN,Consumer Goods,Europe,France,Speculative Grade
MKGA,Merck KGaA,Health Care,Europe,Germany,Medium Grade
MKS,MARKS & SPENCER GROUP PLC,Consumer Services,Europe,United Kingdom,Speculative Grade
MKS-M+SPlc,Marks & Spencer p l c,Consumer Services,Europe,United Kingdom,Speculative Grade
MOET,LVMH Moet Hennessy Louis Vuitton,Consumer Goods,Europe,France,High Grade
MONTE,Bca Monte dei Paschi di Siena S p A,Financials,Europe,Italy,Medium Grade
MUNRE,Munich Re,Financials,Europe,Germany,Medium Grade
NDB,Norddeutsche Landbk Girozentrale,Financials,Europe,Germany,High Grade
NESTLE,Nestle S A,Consumer Goods,Europe,Switzerland,High Grade
NETHRS,Kdom Neth,Government,Europe,Netherlands,Medium Grade
NGGPLC,Natl Grid Gas Plc,Utilities,Europe,United Kingdom,Medium Grade
NGP,Natl Grid Plc,Utilities,Europe,United Kingdom,Medium Grade
NGP-NGET,Natl Grid Electricity Transmission plc,Utilities,Europe,United Kingdom,High Grade
NIBBNK,NIBC Bk NV,Financials,Europe,Netherlands,Medium Grade
NIECO,Nielsen Co,Consumer Services,Europe,Netherlands,Medium Grade
NIPSHG-PILKING,PILKINGTON GROUP Ltd,Industrials,Europe,United Kingdom,Medium Grade
NOKIA,Nokia Oyj,Technology,Europe,Finland,Speculative Grade
NORWAY,Kdom Norway,Government,Europe,Norway,Medium Grade
NOVART,Novartis AG,Health Care,Europe,Switzerland,Medium Grade
NSINO,Norske Skogindustrier ASA,Basic Materials,Europe,Norway,Speculative Grade
NXP,NXP B.V.,Technology,Europe,Germany,Medium Grade
NXT,Next plc,Consumer Services,Europe,United Kingdom,Speculative Grade
OTE,Hellenic Telecom Org SA,Telecommunications,Europe,Greece,Medium Grade
PAUTO,Porsche Automobil Hldg SE,Consumer Goods,Europe,Germany,Medium Grade
PERNOD,Pernod Ricard,Consumer Goods,Europe,France,Medium Grade
PEUGOT,Peugeot SA,Consumer Goods,Europe,France,Speculative Grade
PEUGOT-BanqPsa,Bqe Psa Fin,Financials,Europe,France,Medium Grade
PIRELN,Pirelli & C SpA,Consumer Goods,Europe,Italy,Medium Grade
PORTUG,Rep Portugal,Government,Europe,Portugal,Medium Grade
PPWRC,Pub Pwr Corp SA,Utilities,Europe,Greece,Medium Grade
PREUSS,TUI AG,Consumer Services,Europe,Germany,Medium Grade
PRUFIN,Prudential PLC,Financials,Europe,United Kingdom,High Grade
PSON,Pearson plc,Consumer Services,Europe,United Kingdom,Speculative Grade
PUBFP,Publicis Groupe SA,Consumer Services,Europe,France,Medium Grade
RAGAG-EVODEG,Evonik Degussa GmbH,Basic Materials,Europe,Germany,Medium Grade
RBOSCH,Robert Bosch GmBH,Consumer Goods,Europe,Germany,Medium Grade
RDMB,Rodamco Europe NV,Financials,Europe,Netherlands,Medium Grade
RDNA-ShellPet,SHELL Pete N V,Oil & Gas,Europe,Netherlands,Medium Grade
RDNA-ShellPetLt,Shell Pete Co Ltd,Oil & Gas,Europe,United Kingdom,Medium Grade
RDSPLC,ROYAL DUTCH SHELL PLC,Oil & Gas,Europe,United Kingdom,Medium Grade
RECSA,Red Electrica Corporacion S A,Utilities,Europe,Spain,Medium Grade
RENAUL,Renault,Consumer Goods,Europe,France,Medium Grade
RENAUL-RCIBanq,RCI Bqe,Consumer Goods,Europe,France,Medium Grade
RENTPL,Rentokil Initial 1927 Plc,Industrials,Europe,United Kingdom,Medium Grade
RHEINM-Rheinmet,Rheinmetall AG,Consumer Goods,Europe,Germany,Medium Grade
RIOLN,Rio Tinto plc,Basic Materials,Europe,United Kingdom,Medium Grade
RNK,Rank Gp PLC,Consumer Services,Europe,United Kingdom,Medium Grade
RNTKIL,RENTOKIL INITIAL PLC,Industrials,Europe,United Kingdom,Medium Grade
ROLLS,Rolls Royce plc,Industrials,Europe,United Kingdom,Medium Grade
ROSW,Roche Hldg Ltd,Health Care,Europe,Switzerland,Medium Grade
RSA-InsPLC,Royal & Sun Alliance Ins PLC,Financials,Europe,United Kingdom,Medium Grade
RSAIG,RSA Ins GROUP PLC,Financials,Europe,United Kingdom,Speculative Grade
RXLDEV,REXEL Dev SAS,Industrials,Europe,France,Medium Grade
SANPAO,Intesa Sanpaolo SpA,Financials,Europe,Italy,Medium Grade
SANTNDR,Bco SANTANDER SA,Financials,Europe,Spain,High Grade
SANUK,SANTANDER UK PLC,Financials,Europe,United Kingdom,High Grade
SAPSJ-SGM,Sappi Papier Hldg GmBH,Basic Materials,Europe,Austria,Medium Grade
SBRY,J Sainsbury PLC,Consumer Services,Europe,United Kingdom,Medium Grade
SCACAP,Svenska Cellulosa AB SCA,Consumer Goods,Europe,Sweden,Speculative Grade
SCANIA,SCANIA AB,Industrials,Europe,Sweden,Speculative Grade
SCMNVX,Swisscom AG,Telecommunications,Europe,Switzerland,High Grade
SCORS,SCOR SE,Financials,Europe,France,High Grade
SCOTPO-Ukplc,Scottish Pwr UK PLC,Utilities,Europe,United Kingdom,Medium Grade
SEB,Skandinaviska Enskilda Banken AB,Financials,Europe,Sweden,High Grade
SECURI,Securitas AB,Industrials,Europe,Sweden,Medium Grade
SESG,SES,Telecommunications,Europe,Luxembourg,Medium Grade
SGCLN,Stagecoach Gp Plc,Consumer Services,Europe,United Kingdom,Medium Grade
SGRO,SEGRO PLC,Financials,Europe,United Kingdom,Medium Grade
SICILY,Region Sicily,Government,Europe,Italy,Medium Grade
SIEM,Siemens AG,Industrials,Europe,Germany,Speculative Grade
SKF,AB SKF,Industrials,Europe,Sweden,Medium Grade
SLTRW-Kelda,KELDA GROUP Ltd,Utilities,Europe,United Kingdom,Speculative Grade
SMIN,Smiths Gp Plc,Industrials,Europe,United Kingdom,Medium Grade
SOCGEN,Societe Generale,Financials,Europe,France,High Grade
SOLL,Soc Of Lloyd S,Financials,Europe,United Kingdom,Medium Grade
SOLVAY,Solvay SA,Basic Materials,Europe,Belgium,Medium Grade
SPAIN,Kdom Spain,Government,Europe,Spain,Medium Grade
STAN,STANDARD CHARTERED PLC,Financials,Europe,United Kingdom,High Grade
STAN-Bank,Std Chartered Bk,Financials,Europe,United Kingdom,High Grade
STB,Storebrand ASA,Financials,Europe,Norway,Medium Grade
STENA,Stena Aktiebolag,Industrials,Europe,Sweden,Medium Grade
STGOBN,Cie de St Gobain,Industrials,Europe,France,Medium Grade
STLIFE-LifeAss,STANDARD LIFE Assurn Ltd,Financials,Europe,United Kingdom,Medium Grade
STM,Stmicroelectronics N V,Technology,Europe,Netherlands,High Grade
STORA,Stora Enso CORP,Basic Materials,Europe,Finland,Medium Grade
SVSKHB,Svenska Handelsbanken AB,Financials,Europe,Sweden,High Grade
SWED,Kdom Sweden,Government,Europe,Sweden,Medium Grade
SWEDBK,Swedbank AB,Financials,Europe,Sweden,High Grade
SWEMAT,Swedish Match AB,Consumer Goods,Europe,Sweden,Speculative Grade
SWISS,Swiss Confederation,Government,Europe,Switzerland,Medium Grade
SWLHLD,Swiss Life Hldg Ltd,Financials,Europe,Switzerland,Medium Grade
SWREL,Swiss Reins Co Ltd,Financials,Europe,Switzerland,Medium Grade
SWSL,Swiss Life Ltd,Financials,Europe,Switzerland,Medium Grade
SXLTD,SIX CONTINENTS LTD,Consumer Services,Europe,United Kingdom,Medium Grade
SYNNVX,Syngenta AG,Basic Materials,Europe,Switzerland,High Grade
TATAGP-CORUSLTD,CORUS GROUP Ltd,Basic Materials,Europe,United Kingdom,Speculative Grade
TATELN,Tate & Lyle PLC,Consumer Goods,Europe,United Kingdom,Speculative Grade
TELDAN,TDC A/S,Telecommunications,Europe,Denmark,Speculative Grade
TELEFO,Telefonica S A,Telecommunications,Europe,Spain,Speculative Grade
TELNOR,Telenor ASA,Telecommunications,Europe,Norway,High Grade
TFIFP,Societe Television Francaise 1,Consumer Services,Europe,France,Medium Grade
TIIMN,Telecom Italia SpA,Telecommunications,Europe,Italy,Medium Grade
TKA,Telekom Austria AG,Telecommunications,Europe,Austria,Speculative Grade
TKAGR,ThyssenKrupp AG,Industrials,Europe,Germany,Speculative Grade
TMSNRP-TRGL,THOMSON REUTERS GROUP Ltd,Consumer Services,Europe,United Kingdom,Medium Grade
TNET,Telenet Group Hldg Nv,Consumer Services,Europe,Belgium,Medium Grade
TOTALN,Total SA,Oil & Gas,Europe,France,Medium Grade
TSCO,Tesco PLC,Consumer Services,Europe,United Kingdom,Speculative Grade
TWPLC,TAYLOR WIMPEY PLC,Consumer Goods,Europe,United Kingdom,Medium Grade
TYECOG,Tyco Electrs Group SA,Industrials,Europe,Luxembourg,Medium Grade
UBS,UBS AG,Financials,Europe,Switzerland,High Grade
UCBAG,UniCredit Bk AG,Financials,Europe,Germany,Unknown
UKIN,Utd Kdom Gt Britn & Nthn Irlnd,Government,Europe,United Kingdom,Medium Grade
ULVR,Unilever N V,Consumer Goods,Europe,Netherlands,Speculative Grade
UPMKYM,UPM Kymmene CORP,Basic Materials,Europe,Finland,Medium Grade
USPA,UniCredit SpA,Financials,Europe,Italy,Medium Grade
UU,Utd Utils plc,Utilities,Europe,United Kingdom,High Grade
VEOLIA,Veolia Environnement,Utilities,Europe,France,High Grade
VINCI,Vinci,Industrials,Europe,France,Medium Grade
VIRFIN,VIRGIN MEDIA Fin PLC,Telecommunications,Europe,United Kingdom,Medium Grade
VIVNDI,Vivendi,Telecommunications,Europe,France,Medium Grade
VLOF,Valeo,Consumer Goods,Europe,France,Medium Grade
VLVY,AB Volvo,Industrials,Europe,Sweden,High Grade
VLVY-Treasury,Volvo Treas AB,Industrials,Europe,Sweden,High Grade
VOD,Vodafone Gp PLC,Telecommunications,Europe,United Kingdom,Medium Grade
VW,Volkswagen AG,Consumer Goods,Europe,Germany,High Grade
WEINBG,Wienerberger Ag,Industrials,Europe,Austria,Medium Grade
WENL,WENDEL,Financials,Europe,France,Medium Grade
WINDAQ,Wind Acquisition Fin SA,Financials,Europe,Luxembourg,Speculative Grade
WOLKLU,Wolters Kluwer N V,Consumer Services,Europe,Netherlands,Medium Grade
WPPGRP-2005,WPP 2005 Ltd,Consumer Services,Europe,United Kingdom,Speculative Grade
YORPOW,Yorkshire Pwr Gp Ltd,Utilities,Europe,United Kingdom,Medium Grade
ZINCO,Zurich Ins Co Ltd,Financials,Europe,Switzerland,High Grade
