Ticker,ShortName,Sector,Region,Country,AverageRating
EON-UK,EON UK PLC,Non Cyclical,Europe,United Kingdom,10
ERGBA,Erste Group Bk AG,Financials,Europe,Austria,6
EVRGSA,Evraz Group SA,Cyclical,Europe,Luxembourg,18
EXPGRL-EXPFIN,EXPERIAN Fin PLC,Cyclical,Europe,United Kingdom,17
F-FCEBank,FCE Bk PLC,Financials,Europe,United Kingdom,10
FERRUZ,Edison S p A,Non Cyclical,Europe,Italy,10
FGPLN,Firstgroup plc,Cyclical,Europe,United Kingdom,10
FORTUM,Fortum Oyj,Non Cyclical,Europe,Finland,9
FSEKGA,Fresenius SE & Co KGaA,Non Cyclical,Europe,Germany,7
GFCFP,Gecina,Financials,Europe,France,10
GSK,Glaxosmithkline Plc,Non Cyclical,Europe,United Kingdom,17
HAMRSN,Hammerson PLC,Financials,Europe,United Kingdom,1
HAVAS,Havas,Cyclical,Europe,France,10
HBOS,HBOS Plc,Financials,Europe,United Kingdom,17
HBOS-ScotBkPLC,Bk OF SCOTLAND PLC,Financials,Europe,United Kingdom,6
HEI,HeidelbergCement AG,Cyclical,Europe,Germany,10
HEI-HANSN,HANSON Ltd,Cyclical,Europe,United Kingdom,10
HEIANA,Heineken NV,Non Cyclical,Europe,Netherlands,7
HEIANA-SCOT,SCOTTISH & NEWCASTLE Ltd,Non Cyclical,Europe,United Kingdom,10
HENAGK,Henkel AG & Co KGaA,Cyclical,Europe,Germany,6
HESLAN,Landbk Hessen thueringen Giroz,Financials,Europe,Germany,5
HOFP,THALES,Cyclical,Europe,France,10
HSBC,HSBC Hldgs plc,Financials,Europe,United Kingdom,5
HSBC-HSBCBank,HSBC Bk plc,Financials,Europe,United Kingdom,5
IBERDU,Iberdrola S A,Non Cyclical,Europe,Spain,6
IBERDU-Intl,Iberdrola Intl BV,Non Cyclical,Europe,Netherlands,10
IBERDU-ScotPwr,Scottish Pwr Ltd,Non Cyclical,Europe,United Kingdom,17
IFX-HldgBV,Infineon Tech Hldg B V,Cyclical,Europe,Netherlands,10
IHOT,INTERCONTINENTAL HOTELS LTD,Cyclical,Europe,United Kingdom,10
III,3i Gp plc,Financials,Europe,United Kingdom,9
IKB,IKB Deutsche Industriebank AG,Financials,Europe,Germany,10
INTNED,ING Groep NV,Financials,Europe,Netherlands,5
INTNED-BankNV,ING Bk N V,Financials,Europe,Netherlands,5
INVSA,Inv AB,Financials,Europe,Sweden,17
ISSAS-Global,ISS Glob A S,Financials,Europe,Denmark,10
ITV,ITV Plc,Cyclical,Europe,United Kingdom,17
ITV-Carlton,CARLTON Comms Ltd,Cyclical,Europe,United Kingdom,10
JAPTOB-GGL,GALLAHER GROUP Ltd,Non Cyclical,Europe,United Kingdom,10
KDSM,Koninklijke DSM NV,Cyclical,Europe,Netherlands,10
KEL-YorkWat,YORKSHIRE WATER SERVICES Ltd,Non Cyclical,Europe,United Kingdom,10
KEL-YorkWatfltd,YORKSHIRE WATER SERVICES Fin Ltd,Non Cyclical,Europe,United Kingdom,10
KINGFI,Kingfisher PLC,Cyclical,Europe,United Kingdom,8
KPN,Koninklijke KPN N V,Cyclical,Europe,Netherlands,8
KRCP-BankNV,KBC Bk,Financials,Europe,Belgium,10
LAFCP,Lafarge,Cyclical,Europe,France,9
LAGARD,Lagardere Societes,Cyclical,Europe,France,10
LAND-SecPlc,Ld Secs PLC,Financials,Europe,United Kingdom,10
LAVORO,Bca Naz del Lavoro S p A,Financials,Europe,Italy,10
LBTG-UPC,UPC Hldg BV,Cyclical,Europe,Netherlands,10
LBW,Landbk Baden Wuertbg,Financials,Europe,Germany,10
LGEN,Legal & Gen Gp PLC,Financials,Europe,United Kingdom,10
LGRDSA-frnc,Legrand France,Cyclical,Europe,France,14
LIFP,Klepierre,Financials,Europe,France,6
LINDE,Linde AG,Cyclical,Europe,Germany,14
LMETEL,TelefonAB L M Ericsson,Cyclical,Europe,Sweden,10
