Date,ITRAXX-Europe
2010-09-16,0.21434758090849296
2010-09-17,0.20684405865088312
2010-09-20,1.1979931718468615
2010-09-21,-0.3313487773117871
2010-09-22,1.2298899932199305
2010-09-23,0.7331624755280581
2010-09-24,-1.1285412298654198
2010-09-27,0.18928138394656088
2010-09-28,0.4867541335077121
2010-09-29,-1.05958800425377
2010-09-30,-0.29464050998897995
2010-10-01,-0.4944273451238836
2010-10-04,0.24381027505895878
2010-10-05,-1.2001066311953046
2010-10-06,-1.332593912295238
2010-10-07,0.5218742903572512
2010-10-08,-0.38900914763063904
2010-10-11,-1.2568790310686362
2010-10-12,0.9722200626184022
2010-10-13,-1.3318764642109682
2010-10-14,1.2201167052858657
2010-10-15,0.4206577094441445
2010-10-18,0.15538413537274154
2010-10-19,-0.24044114306212863
2010-10-20,-0.11008038244456045
2010-10-21,-0.8150705392625955
2010-10-22,0.17995945334784963
2010-10-25,-1.2442857935552183
2010-10-26,0.0841543227334242
2010-10-27,0.9765321826853014
2010-10-28,-0.2857523205179364
2010-10-29,-0.07417846348894974
2010-11-01,0.15873666227911576
2010-11-02,-0.2908480614513948
2010-11-03,0.589560439039707
2010-11-04,-1.1825239758492494
2010-11-05,0.45605780457078915
2010-11-08,1.1515592939704258
2010-11-09,-0.29422907593909053
2010-11-10,1.1694801520025877
2010-11-11,0.7422192103670162
2010-11-12,-0.6210985067370554
2010-11-15,-0.6138932885885644
2010-11-16,0.9376645231583032
2010-11-17,-0.7827606492472835
2010-11-18,-0.596614992048957
2010-11-19,0.2451319389168796
2010-11-22,0.6061850540612431
2010-11-23,1.268769984157356
2010-11-24,-0.01918286348809647
2010-11-25,0.193474565438381
2010-11-26,0.6704439561975762
2010-11-29,1.0699769805065027
2010-11-30,1.163545452007681
2010-12-01,-1.3727002113633764
2010-12-02,-1.6662901231054665
2010-12-03,-0.05568259687586589
2010-12-06,0.06906097090631766
2010-12-07,-1.0289325062141927
2010-12-08,0.5618858887257111
2010-12-09,0.16512993834053544
2010-12-10,0.5072923308154043
2010-12-13,-0.7554001423337121
2010-12-14,-0.27711132483397755
2010-12-15,-0.20098427624236198
2010-12-16,0.22720151228150653
2010-12-17,0.4413615521771358
2010-12-20,0.25611352235161616
2010-12-21,-0.4180655324837105
2010-12-22,-0.2892777702407561
2010-12-23,0.4414455529563941
2010-12-24,-0.02242446454492218
2010-12-30,-0.15822283187528288
2010-12-31,-0.23364134224447017
2011-01-05,0.7661150306211133
2011-01-06,1.9013168754187435
2011-01-07,1.1589514340505644
2011-01-10,0.9561820533114002
2011-01-11,-1.219996659876268
2011-01-12,-1.831368770283679
2011-01-13,0.06703724933127794
2011-01-14,-0.3077947754308791
2011-01-17,-0.157008098218986
2011-01-18,0.024116065712346018
2011-01-19,-0.2677997143170492
2011-01-20,-0.20966072939191088
2011-01-21,-0.9637413555948864
2011-01-24,-1.4272218060003452
2011-01-25,1.4090566138289353
2011-01-26,-0.09259537585608428
2011-01-27,0.21479433404084416
2011-01-28,-0.06938833076164748
2011-01-31,-0.5042169272524294
2011-02-01,-0.7826414748319246
2011-02-02,0.009275407195331849
2011-02-03,0.41061966148930407
2011-02-04,-0.4804022520238259
2011-02-07,0.08062825013433854
2011-02-08,-0.24955845116746614
2011-02-09,0.32230301781760784
2011-02-10,0.3994839882825283
2011-02-11,-0.3269097133459414
2011-02-14,0.5350872832707121
2011-02-15,0.06215781980293159
2011-02-16,-0.6574464751728945
2011-02-17,-0.0009099586971600704
2011-02-18,0.09369501680910416
2011-02-21,0.7033046455084409
2011-02-22,0.5588424528894221
2011-02-23,0.555767593785482
2011-02-24,0.021415540971342593
2011-02-25,-1.021020824750396
2011-02-28,-0.5215293873861184
2011-03-01,0.4076675879313765
2011-03-02,0.20967338427287852
2011-03-03,-0.059999056181265116
2011-03-04,0.19237218405258502
2011-03-07,0.7226386205557301
2011-03-08,-0.29936318289640446
2011-03-09,0.1566803544479739
2011-03-10,0.5526153279188386
2011-03-11,0.07155836356041786
2011-03-14,-0.7232969031106139
2011-03-15,0.9222836161233836
2011-03-16,0.3103930357329335
2011-03-17,-0.807040918762215
2011-03-18,0.1353653180391358
2011-03-21,-0.5333880285979674
2011-03-22,0.6893141696952133
2011-03-23,0.19989667170993417
2011-03-24,-0.9917489912825634
2011-03-25,0.47286270275324627
2011-03-28,-0.2241330367695077
2011-03-29,0.04705250015646831
2011-03-30,0.26321333524789053
2011-03-31,0.021267884102678547
2011-04-01,-1.3623531706660132
2011-04-04,-0.5638453920977039
2011-04-05,0.14659239135797286
2011-04-06,-0.8239953778636063
2011-04-07,0.45892484839148107
2011-04-08,-0.7190415472378591
2011-04-11,0.32934440167328155
2011-04-12,0.7334898488206362
2011-04-13,-0.1014589553547408
2011-04-14,-0.010981949734309004
2011-04-15,0.27993523607248055
2011-04-18,1.380870362073707
2011-04-19,-0.5122334630550623
2011-04-20,-0.36596718252093363
2011-04-21,-0.1257040322837286
2011-04-27,-0.3544632822532067
2011-04-28,-0.5300980919997131
2011-05-04,0.02953824176227051
2011-05-05,0.2785566669093612
2011-05-06,-0.4839042531005775
2011-05-09,0.9315785790937171
2011-05-10,-0.4973753672814551
2011-05-11,-0.05803758010006302
2011-05-12,0.086421185889377
2011-05-13,-0.1859259316905661
2011-05-16,0.029437383364062295
2011-05-17,0.44096647684969525
2011-05-18,-0.09080743797830412
2011-05-19,0.06570457866881926
2011-05-20,0.6806655167633521
2011-05-23,1.0916835981149322
2011-05-24,-0.49620425687188097
2011-05-25,0.26989528630103915
2011-05-26,0.2298803803912249
