Date,Intersection Normal,Intersection Communities,CSRA Normal,CSRA Communities
2010-09-14,61.703337439518215,60.47327961048708,47.47638310471909,47.51902407812514
2010-09-15,61.389836708122715,59.984785939899254,47.21577230780532,47.245232879808334
2010-09-16,61.760645060537044,60.61040675061972,47.38561450918364,47.400118483680565
2010-09-17,61.55999846795436,60.34566096027343,47.04926947977312,47.11805478145894
2010-09-20,61.573494690405596,60.60813997992119,46.88060644982516,47.0069863309426
2010-09-21,61.613640607547495,60.540838647068796,46.84676472879402,46.895415569230195
2010-09-22,61.55556872523322,61.15326449031506,46.47517362895665,46.714360450148796
2010-09-23,61.963670440622685,62.02410356469523,46.97965108926987,47.286740523719956
2010-09-24,61.592049854054366,61.06820050551154,46.81012662148583,47.09170697518394
2010-09-27,61.64524141465595,60.846141701324306,46.66239636761567,46.871451761716095
2010-09-28,61.32851397320953,60.91196126928463,46.5898105908222,46.86291666946406
2010-09-29,60.5054338096064,60.027972892161785,46.2482754724477,46.49378289960076
2010-09-30,61.17873969980641,60.55021974019946,46.62432719183058,46.86844491296141
2010-10-01,60.843879674231495,59.594717882583346,46.135813928238974,46.32676871712681
2010-10-04,61.35435434669901,59.9206691868668,46.2107210874885,46.32995733699399
2010-10-05,60.62152357918292,59.71337024233912,46.12994733263614,46.375739171521545
2010-10-06,60.57057754080846,59.026137301501116,46.07194327053753,46.23805327738013
2010-10-07,59.895702347598345,58.75060243217787,45.51047876963696,45.69847407513492
2010-10-08,60.36336695311929,59.060468090091675,45.89249298428276,46.016357173387746
2010-10-11,59.87274511217293,57.822892554628666,45.7273712840214,45.73312402596062
