AverageRating,Average_RMSE_Intersection_Normal,Average_RMSE_Intersection_Communities,Average_RMSE_CSRA_Normal,Average_RMSE_CSRA_Communities
14,137.46945951057708,112.91109216229782,336.44330082565523,140.47004862079234
9,116.34953926773969,109.8322812677051,458.22587292630385,146.68218136931506
10,170.52713166288814,165.80781542958024,273.68962458781226,256.7580826142334
5,19.723785545780594,19.36582769746674,363.53040854796745,101.4646771596297
7,40.363562322656584,42.08476705628212,141.8749069699776,193.7665143128534
15,312.67954226347643,312.67954226347643,298.43741991293047,159.35942149080756
17,165.20035565096572,165.3044400431407,186.13361138472166,146.66977279596495
6,33.295534412062665,37.59322700614443,383.2318342290882,354.507366070291
3,31.534199400355938,31.534199400355938,299.6459066764372,86.82921743792606
8,53.99362297826648,53.99362297826648,216.78540971961687,93.878476912249
13,200.11396510220487,200.11396510220487,168.502118484389,177.4751558480379
1,29.90621817040708,29.90621817040708,602.8966436876341,190.84285672549456
2,54.88283287770218,54.88283287770218,214.3679336926655,107.61435443941825
4,42.08811812936087,42.08811812936087,33.680898655170076,33.41677878290696
18,285.00691650839,285.00691650839,261.717285794817,317.4228529197305
22,180.1029060683477,180.1029060683477,167.3240492388338,180.62300369643214
11,193.4966276099738,193.4966276099738,135.39109001617166,203.13819831111465
12,202.6967294255438,202.6967294255438,600.1920433411595,167.09314704203422
19,39.929390566574774,39.929390566574774,103.21563063868146,25.58147611393365
