Date,AAPL
2023-01-03,123.90463256835938
2023-01-04,125.18260955810547
2023-01-05,123.85509490966797
2023-01-06,128.4122314453125
2023-01-09,128.9373016357422
2023-01-10,129.51190185546875
2023-01-11,132.24620056152344
2023-01-12,132.16693115234375
2023-01-13,133.5043487548828
2023-01-17,134.67337036132812
2023-01-18,133.95013427734375
2023-01-19,134.00958251953125
2023-01-20,136.58535766601562
2023-01-23,139.79518127441406
2023-01-24,141.2019500732422
2023-01-25,140.53817749023438
2023-01-26,142.61865234375
2023-01-27,144.57025146484375
2023-01-30,141.6675567626953
2023-01-31,142.94554138183594
2023-02-01,144.07492065429688
2023-02-02,149.41470336914062
2023-02-03,153.06040954589844
2023-02-06,150.31622314453125
2023-02-07,153.20901489257812
2023-02-08,150.5044403076172
2023-02-09,149.46421813964844
2023-02-10,149.83132934570312
2023-02-13,152.64918518066406
2023-02-14,152.00424194335938
2023-02-15,154.11761474609375
2023-02-16,152.51026916503906
2023-02-17,151.3593292236328
2023-02-21,147.3210906982422
2023-02-22,147.74774169921875
2023-02-23,148.23390197753906
2023-02-24,145.56492614746094
2023-02-27,146.7654571533203
2023-02-28,146.25942993164062
2023-03-01,144.1758270263672
2023-03-02,144.7711639404297
2023-03-03,149.8511962890625
2023-03-06,152.6293487548828
2023-03-07,150.416748046875
2023-03-08,151.67681884765625
2023-03-09,149.4146270751953
2023-03-10,147.34092712402344
2023-03-13,149.29556274414062
2023-03-14,151.39901733398438
2023-03-15,151.79588317871094
2023-03-16,154.63357543945312
2023-03-17,153.7902069091797
2023-03-20,156.1714630126953
2023-03-21,158.03680419921875
2023-03-22,156.59812927246094
2023-03-23,157.6895294189453
2023-03-24,158.99923706054688
2023-03-27,157.0446014404297
2023-03-28,156.41949462890625
2023-03-29,159.51516723632812
2023-03-30,161.09275817871094
2023-03-31,163.6129150390625
2023-04-03,164.87301635742188
2023-04-04,164.3372344970703
2023-04-05,162.48182678222656
2023-04-06,163.37481689453125
2023-04-10,160.7653350830078
2023-04-11,159.54493713378906
2023-04-12,158.8503875732422
2023-04-13,164.26776123046875
2023-04-14,163.92050170898438
2023-04-17,163.9403533935547
2023-04-18,165.1707000732422
2023-04-19,166.32164001464844
2023-04-20,165.34927368164062
2023-04-21,163.7320098876953
2023-04-24,164.03958129882812
2023-04-25,162.4917449951172
2023-04-26,162.48182678222656
2023-04-27,167.09556579589844
2023-04-28,168.35562133789062
2023-05-01,168.266357421875
2023-05-02,167.22450256347656
2023-05-03,166.14300537109375
2023-05-04,164.4959716796875
2023-05-05,172.21527099609375
2023-05-08,172.1457977294922
2023-05-09,170.4293212890625
2023-05-10,172.20535278320312
2023-05-11,172.3938446044922
2023-05-12,171.4599151611328
2023-05-15,170.963134765625
