Date,AAPL
2023-09-29,170.33836364746094
2023-10-02,172.8654327392578
2023-10-03,171.52230834960938
2023-10-04,172.77589416503906
2023-10-05,174.01953125
2023-10-06,176.58641052246094
2023-10-09,178.07875061035156
2023-10-10,177.4818115234375
2023-10-11,178.88462829589844
2023-10-12,179.79000854492188
2023-10-13,177.93946838378906
2023-10-16,177.8101348876953
2023-10-17,176.24810791015625
2023-10-18,174.9447784423828
2023-10-19,174.56674194335938
2023-10-20,171.99986267089844
2023-10-23,172.1192626953125
2023-10-24,172.5570068359375
2023-10-25,170.22894287109375
2023-10-26,166.04037475585938
2023-10-27,167.36358642578125
2023-10-30,169.42303466796875
2023-10-31,169.90060424804688
2023-11-01,173.0843048095703
2023-11-02,176.66600036621094
2023-11-03,175.7506561279297
2023-11-06,178.31752014160156
2023-11-07,180.89434814453125
2023-11-08,181.95889282226562
2023-11-09,181.4813232421875
2023-11-10,185.69534301757812
2023-11-13,184.10140991210938
2023-11-14,186.73141479492188
2023-11-15,187.29925537109375
2023-11-16,188.99285888671875
2023-11-17,188.97291564941406
2023-11-20,190.72625732421875
2023-11-21,189.91932678222656
2023-11-22,190.5867919921875
2023-11-24,189.25186157226562
2023-11-27,189.07252502441406
2023-11-28,189.6802215576172
2023-11-29,188.65411376953125
2023-11-30,189.23191833496094
2023-12-01,190.51705932617188
2023-12-04,188.71389770507812
2023-12-05,192.68881225585938
2023-12-06,191.59298706054688
2023-12-07,193.53561401367188
2023-12-08,194.97015380859375
2023-12-11,192.44970703125
2023-12-12,193.9739532470703
2023-12-13,197.21165466308594
2023-12-14,197.361083984375
2023-12-15,196.82313537597656
2023-12-18,195.14947509765625
2023-12-19,196.1955108642578
2023-12-20,194.09349060058594
2023-12-21,193.94403076171875
2023-12-22,192.86814880371094
2023-12-26,192.32022094726562
2023-12-27,192.41983032226562
2023-12-28,192.84820556640625
2023-12-29,191.8021697998047
