Date,III.L,ADM.L,AAL.L,ANTO.L,AHT.L,ABF.L,AZN.L,AV.L,BA.L,BARC.L,BDEV.L,BEZ.L,BKG.L,BP.L,BATS.L,BLND.L,BT-A.L,BNZL.L,CNA.L,CPG.L,CRDA.L,DCC.L,DGE.L,DPLM.L,EZJ.L,ENT.L,EXPN.L,FCIT.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HLMA.L,HL.L,HIK.L,HSX.L,HWDN.L,HSBA.L,IHG.L,IMI.L,IMB.L,INF.L,IAG.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MRO.L,MNDI.L,NG.L,NWG.L,NXT.L,PSON.L,PSN.L,PHNX.L,PRU.L,RKT.L,REL.L,RTO.L,RMV.L,RIO.L,RR.L,SGE.L,SBRY.L,SDR.L,SMT.L,SGRO.L,SVT.L,SHEL.L,SN.L,SMDS.L,SMIN.L,SPX.L,SSE.L,STAN.L,TW.L,TSCO.L,ULVR.L,UU.L,UTG.L,VTY.L,VOD.L,WEIR.L,WTB.L,WPP.L
2001-10-01,457.8251647949219,,444.90631103515625,41.40248489379883,44.404903411865234,286.41497802734375,1353.842041015625,245.01968383789062,128.31149291992188,204.2171173095703,76.40593719482422,,364.1522216796875,174.5458526611328,185.22967529296875,132.82957458496094,98.594970703125,255.6756134033203,74.402587890625,285.19305419921875,123.09649658203125,470.03314208984375,351.09521484375,29.869298934936523,239.76219177246094,,,149.41806030273438,,,,533.4928588867188,81.87706756591797,,,93.9381103515625,72.22020721435547,194.98399353027344,,117.51713562011719,166.13246154785156,86.86248016357422,,,1.591662049293518,111.50056457519531,294.22674560546875,39.28200149536133,176.55178833007812,,204.64926147460938,138.09866333007812,,,132.363525390625,2380.775390625,450.4175109863281,297.421630859375,122.97172546386719,,247.57998657226562,524.290771484375,321.1856994628906,146.4221649169922,,344.8406677246094,25.335216522216797,91.78482818603516,152.62057495117188,52.165061950683594,47.76157760620117,248.73193359375,338.0335388183594,1294.562255859375,237.6072540283203,30.191604614257812,446.4884338378906,173.28846740722656,181.9925537109375,260.46142578125,60.98197555541992,138.552490234375,498.1356201171875,176.64732360839844,242.23638916015625,140.983642578125,32.50228500366211,127.3474349975586,308.98712158203125,252.10874938964844
2001-10-02,465.31927490234375,,446.56207275390625,42.222816467285156,43.812774658203125,286.5765075683594,1385.155029296875,238.827880859375,127.82841491699219,205.65362548828125,76.40593719482422,,365.65301513671875,180.32565307617188,187.34494018554688,135.43881225585938,97.5326156616211,252.8411865234375,74.7474136352539,271.98834228515625,123.09649658203125,369.445068359375,348.3387145996094,29.869298934936523,224.08937072753906,,,148.8492431640625,,,,536.6327514648438,81.29220581054688,,,93.12126922607422,70.87029266357422,198.478515625,,112.3402099609375,172.01588439941406,68.96355438232422,,,1.591662049293518,117.35911560058594,297.0798034667969,41.2982292175293,179.56739807128906,,204.03102111816406,142.43118286132812,,,134.82203674316406,2362.2958984375,448.4571533203125,273.27197265625,127.16838836669922,,249.37655639648438,529.0139770507812,300.806396484375,145.96792602539062,,349.1679382324219,24.974048614501953,88.08983612060547,152.11183166503906,52.124454498291016,48.465091705322266,253.1762237548828,338.0335388183594,1294.562255859375,240.91656494140625,29.1926326751709,437.4615173339844,172.7401123046875,188.1015167236328,263.7070617675781,59.80226516723633,140.44309997558594,514.8756103515625,181.28636169433594,242.23638916015625,140.51608276367188,33.12138748168945,120.95226287841797,304.4143981933594,244.8162841796875
2001-10-03,446.92474365234375,,441.59417724609375,43.04314041137695,42.924720764160156,293.68426513671875,1387.3291015625,246.19915771484375,124.8332290649414,204.2171173095703,79.17794799804688,,354.7716369628906,179.99534606933594,191.87738037109375,138.04786682128906,96.89527130126953,256.2425537109375,76.81655883789062,263.4886779785156,122.20162200927734,369.445068359375,344.32904052734375,29.140775680541992,224.08937072753906,,,149.98692321777344,,,,546.0523681640625,80.41496276855469,,,93.9381103515625,73.05512237548828,203.51031494140625,,108.7163314819336,179.49484252929688,67.64746856689453,,,1.6016099452972412,121.61129760742188,300.1113586425781,41.71538543701172,182.03475952148438,,205.26751708984375,148.929931640625,,,145.60809326171875,2405.00390625,455.8086853027344,275.3902893066406,130.7794647216797,,245.78335571289062,540.5601196289062,298.5104675292969,145.01133728027344,,359.48651123046875,25.593231201171875,96.36670684814453,156.3512420654297,54.5601692199707,49.09044647216797,255.76470947265625,340.361572265625,1294.562255859375,240.58555603027344,28.415607452392578,435.5014953613281,173.28846740722656,195.77342224121094,265.7355651855469,60.25599670410156,140.71315002441406,522.4846801757812,180.44288635253906,238.083740234375,141.9188995361328,33.05506134033203,119.28392791748047,316.82623291015625,239.60745239257812
2001-10-04,473.4947814941406,,474.7135925292969,44.3942756652832,44.404903411865234,302.892333984375,1364.280029296875,257.4034118652344,123.3839340209961,215.9306640625,79.17794799804688,,377.22247314453125,186.27040100097656,188.8557586669922,142.00120544433594,102.8447494506836,256.2425537109375,77.24762725830078,280.4879150390625,121.36264038085938,467.5410461425781,346.3338317871094,29.869298934936523,227.45404052734375,,,152.8311004638672,,,,539.7727661132812,78.07561492919922,,,93.9381103515625,75.95685577392578,210.4990234375,,111.0459213256836,172.71400451660156,70.2796401977539,,,1.638085961341858,127.3752670288086,307.0657653808594,44.00973892211914,192.4524383544922,,202.79441833496094,159.21966552734375,,,137.9944305419922,2502.971923828125,473.9431457519531,281.7455749511719,133.1217498779297,,261.593994140625,537.9358520507812,315.73223876953125,146.22991943359375,,365.47796630859375,27.8636417388916,98.14031982421875,158.55580139160156,58.132564544677734,50.028472900390625,262.4312744140625,340.361572265625,1294.562255859375,243.72940063476562,29.96961212158203,445.4801025390625,183.70773315429688,184.97601318359375,268.1697998046875,58.25957107543945,140.44309997558594,518.9335327148438,174.53872680664062,237.73764038085938,149.40061950683594,34.558563232421875,126.51325988769531,333.1575012207031,253.67132568359375
2001-10-05,492.5708923339844,,474.1617126464844,44.63555908203125,44.404903411865234,298.85369873046875,1380.80615234375,264.77459716796875,123.67374420166016,217.36734008789062,79.17794799804688,,374.7208557128906,185.27955627441406,189.15789794921875,141.36871337890625,104.54478454589844,249.4396209716797,76.90278625488281,293.84442138671875,120.18821716308594,372.602783203125,344.32904052734375,29.34893035888672,232.16468811035156,,,153.58963012695312,,,,543.7687377929688,78.07561492919922,,,95.57182312011719,78.51720428466797,208.82168579101562,,110.2693862915039,176.50323486328125,70.2796401977539,,,1.6811929941177368,124.72947692871094,310.2755126953125,43.94021987915039,189.16256713867188,,205.26751708984375,152.612548828125,,,138.9462890625,2566.0322265625,476.39361572265625,306.31878662109375,131.16983032226562,,269.8585510253906,536.09912109375,321.4728698730469,150.03797912597656,,369.4721984863281,30.185590744018555,99.02714538574219,153.89236450195312,59.55340576171875,49.79397964477539,262.79754638671875,334.3086853027344,1294.562255859375,246.8732452392578,29.803112030029297,458.3100280761719,187.8206024169922,183.27122497558594,279.93511962890625,56.807613372802734,138.28240966796875,532.6299438476562,175.3821258544922,238.42984008789062,148.23158264160156,34.492225646972656,128.73765563964844,334.46392822265625,254.1923065185547
2001-10-08,485.75799560546875,,470.29779052734375,44.63555908203125,42.62867736816406,299.8229675292969,1374.2825927734375,256.813720703125,125.21966552734375,214.38363647460938,79.17794799804688,,367.8418273925781,187.26121520996094,186.13621520996094,140.73622131347656,105.67806243896484,252.27415466308594,76.29930114746094,291.41595458984375,118.17485046386719,372.602783203125,338.3145446777344,29.24485969543457,223.41641235351562,,,153.39996337890625,,,,553.473876953125,78.07561492919922,,,96.38865661621094,76.81029510498047,206.3057403564453,,109.23396301269531,175.50608825683594,70.2796401977539,,,1.6878252029418945,126.90279388427734,304.03424072265625,43.80116653442383,188.34014892578125,,202.79441833496094,151.3670196533203,,,139.5806884765625,2493.263427734375,483.2552795410156,299.1163635253906,123.06929779052734,,263.390625,529.0139770507812,318.6022644042969,147.4485321044922,,368.140869140625,28.895606994628906,102.27873992919922,152.62057495117188,57.36125564575195,49.16861343383789,259.4703369140625,324.0650939941406,1294.562255859375,247.86605834960938,28.970630645751953,451.5385437011719,190.56248474121094,184.12359619140625,278.71807861328125,56.08163070678711,136.391845703125,527.5570678710938,172.57061767578125,242.23638916015625,145.19212341308594,35.48720169067383,125.95712280273438,329.56451416015625,272.944091796875
2001-10-09,491.5489196777344,,459.8099365234375,44.87682342529297,44.700927734375,301.9230041503906,1354.277099609375,252.2434844970703,119.8089599609375,216.59373474121094,79.17794799804688,,380.9745788574219,187.7565460205078,187.04273986816406,141.1472930908203,103.6948013305664,252.8411865234375,77.93732452392578,295.6658935546875,118.17485046386719,470.03314208984375,330.7965393066406,29.24485969543457,230.1458282470703,,,155.86502075195312,,,,540.343505859375,76.61354064941406,,,96.38865661621094,77.49307250976562,204.48876953125,,109.49280548095703,171.51731872558594,73.70152282714844,,,1.6845088005065918,128.79263305664062,303.142578125,41.228721618652344,186.96945190429688,,204.03102111816406,166.260009765625,,,141.64251708984375,2502.971923828125,480.3146057128906,298.6926574707031,127.26595306396484,,260.51593017578125,524.8154296875,326.6392517089844,146.68690490722656,,358.8207702636719,28.276418685913086,100.20954895019531,153.4684295654297,57.92958068847656,49.87214660644531,259.83673095703125,331.2821350097656,1294.562255859375,238.93093872070312,29.747589111328125,444.0545349121094,196.5947265625,179.57742309570312,281.76080322265625,56.98912048339844,133.96112060546875,532.6299438476562,170.91188049316406,242.23638916015625,147.29637145996094,35.33243179321289,128.73765563964844,329.2379150390625,280.7574157714844
2001-10-10,495.29595947265625,,477.4737243652344,44.63555908203125,44.700927734375,300.3076171875,1390.808837890625,262.41583251953125,127.53858947753906,226.20797729492188,79.17794799804688,,386.5404052734375,194.85733032226562,180.69723510742188,140.89430236816406,106.24449920654297,255.10874938964844,77.65998840332031,310.8437805175781,119.01371002197266,372.602783203125,323.0277404785156,29.34893035888672,230.81878662109375,,,157.76116943359375,,,,558.040771484375,76.61354064941406,,,100.06453704833984,75.95685577392578,208.96153259277344,,110.52825164794922,173.11273193359375,86.07279968261719,,,1.7143522500991821,133.89524841308594,306.70904541015625,43.38399887084961,191.90402221679688,,202.79441833496094,166.260009765625,,,143.70462036132812,2633.939208984375,490.1169128417969,321.994873046875,133.90252685546875,,268.0619201660156,526.9148559570312,332.9539489746094,149.42869567871094,,385.11663818359375,28.689189910888672,112.92047119140625,152.1965789794922,59.593997955322266,51.748207092285156,257.9869079589844,340.8271484375,1294.562255859375,245.54966735839844,29.803112030029297,445.8367004394531,196.928955078125,186.3967742919922,284.8036193847656,57.2613639831543,131.93548583984375,540.2387084960938,173.83587646484375,237.0456085205078,149.63438415527344,36.59271240234375,126.51325988769531,330.8710021972656,281.79925537109375
2001-10-11,546.7330932617188,,495.13751220703125,44.63555908203125,47.06919860839844,292.715087890625,1389.5037841796875,274.209716796875,128.31149291992188,232.3963165283203,79.17794799804688,,389.0418395996094,193.70143127441406,182.81240844726562,142.57046508789062,96.39936828613281,255.10874938964844,80.78025817871094,311.29913330078125,123.37605285644531,474.5191955566406,327.28802490234375,29.97338104248047,238.8941192626953,,,160.6053924560547,,,,548.050537109375,80.70738220214844,,,102.10662841796875,78.17579650878906,216.92855834960938,,116.4817123413086,169.52288818359375,90.81082916259766,,,1.7276164293289185,134.9346160888672,308.1355895996094,43.94021987915039,194.78268432617188,,205.26751708984375,168.5887451171875,,,146.3214874267578,2677.60107421875,500.8995666503906,333.85784912109375,140.5391082763672,,267.70257568359375,502.7734375,340.4163818359375,150.4949493408203,,391.10791015625,28.689189910888672,114.8419189453125,152.83251953125,60.77127456665039,52.5299072265625,258.3592834472656,335.7054748535156,1294.562255859375,234.95986938476562,29.747589111328125,448.3312072753906,202.4998016357422,184.6919403076172,296.1632995605469,60.80047607421875,134.0961151123047,520.9627685546875,173.97640991210938,241.19815063476562,152.9076690673828,35.66408920288086,132.63038635253906,333.1575012207031,298.20709228515625
2001-10-12,536.8545532226562,,501.7613220214844,44.15300369262695,47.365211486816406,287.7071533203125,1393.4178466796875,261.826171875,124.44673919677734,227.64456176757812,79.17794799804688,,389.0418395996094,196.34352111816406,182.20799255371094,143.42437744140625,95.76203155517578,257.9432067871094,79.82687377929688,312.9686584472656,123.09649658203125,386.5028991699219,338.3145446777344,29.97338104248047,247.64234924316406,,,159.27810668945312,,,,553.759521484375,81.87706756591797,,,102.92350769042969,77.15167999267578,213.01483154296875,,122.95295715332031,168.52565002441406,96.07518768310547,,,1.7408806085586548,136.1630401611328,307.2439880371094,42.13254928588867,193.0006866455078,,213.3050537109375,170.0509796142578,,,155.04574584960938,2633.939208984375,500.8995666503906,325.80792236328125,136.63525390625,,260.15667724609375,501.1989440917969,338.4073181152344,150.4949493408203,,388.1123352050781,29.411588668823242,107.45186614990234,154.31631469726562,60.893070220947266,51.591861724853516,265.7583923339844,338.9646911621094,1294.562255859375,229.99583435058594,30.413616180419922,454.0334167480469,207.51351928710938,190.9430694580078,296.1632995605469,60.61899948120117,134.50123596191406,520.9627685546875,175.9445037841797,241.19815063476562,153.1414337158203,34.492225646972656,134.02061462402344,333.1575012207031,296.90496826171875
