Date,MSFT
2023-10-02,319.40252685546875
2023-10-03,311.0552062988281
2023-10-04,316.5837097167969
2023-10-05,316.980712890625
2023-10-06,324.8218688964844
2023-10-09,327.3628234863281
2023-10-10,325.9434814453125
2023-10-11,329.9434509277344
2023-10-12,328.69281005859375
2023-10-13,325.2884216308594
2023-10-16,330.16180419921875
2023-10-17,329.5860900878906
2023-10-18,327.6506652832031
2023-10-19,328.85162353515625
2023-10-20,324.2362976074219
2023-10-23,326.86651611328125
2023-10-24,328.0675048828125
2023-10-25,338.1319885253906
2023-10-26,325.4471740722656
2023-10-27,327.3528747558594
2023-10-30,334.7970275878906
2023-10-31,335.5910339355469
2023-11-01,343.4917297363281
2023-11-02,345.7249450683594
2023-11-03,350.1716003417969
2023-11-06,353.8738098144531
2023-11-07,357.8440246582031
2023-11-08,360.49407958984375
2023-11-09,358.0028076171875
2023-11-10,366.9158935546875
2023-11-13,363.9481506347656
2023-11-14,367.51141357421875
2023-11-15,367.6606140136719
2023-11-16,374.12530517578125
2023-11-17,367.83966064453125
2023-11-20,375.3883972167969
2023-11-21,371.0421447753906
2023-11-22,375.7961730957031
2023-11-24,375.37841796875
2023-11-27,376.552001953125
2023-11-28,380.61981201171875
2023-11-29,376.7907409667969
2023-11-30,376.85040283203125
2023-12-01,372.47430419921875
2023-12-04,367.1335144042969
2023-12-05,370.4951171875
2023-12-06,366.7953796386719
2023-12-07,368.9336853027344
2023-12-08,372.1958312988281
2023-12-11,369.28173828125
2023-12-12,372.3450012207031
2023-12-13,372.3350830078125
2023-12-14,363.9409484863281
2023-12-15,368.7148742675781
2023-12-18,370.6244201660156
2023-12-19,371.2311096191406
2023-12-20,368.6054382324219
2023-12-21,371.5096130371094
2023-12-22,372.5439147949219
2023-12-26,372.6235046386719
2023-12-27,372.0367126464844
2023-12-28,373.2401123046875
2023-12-29,373.9959716796875
