Date,MSFT
2023-01-03,236.18353271484375
2023-01-04,225.85211181640625
2023-01-05,219.15835571289062
2023-01-06,221.74119567871094
2023-01-09,223.90016174316406
2023-01-10,225.6056365966797
2023-01-11,232.42752075195312
2023-01-12,235.1287078857422
2023-01-13,235.83848571777344
2023-01-17,236.94259643554688
2023-01-18,232.4669647216797
2023-01-19,228.6419677734375
2023-01-20,236.81443786621094
2023-01-23,239.14097595214844
2023-01-24,238.608642578125
2023-01-25,237.19891357421875
2023-01-26,244.48414611816406
2023-01-27,244.64187622070312
2023-01-30,239.26914978027344
2023-01-31,244.29684448242188
2023-02-01,249.16680908203125
2023-02-02,260.8488464355469
2023-02-03,254.68746948242188
2023-02-06,253.1298065185547
2023-02-07,263.7668762207031
2023-02-08,262.9486083984375
2023-02-09,259.8826904296875
2023-02-10,259.37005615234375
2023-02-13,267.47357177734375
2023-02-14,268.3115539550781
2023-02-15,266.16693115234375
2023-02-16,259.0808410644531
2023-02-17,255.03872680664062
2023-02-21,249.7118377685547
2023-02-22,248.56539916992188
2023-02-23,251.78724670410156
2023-02-24,246.30223083496094
2023-02-27,247.23121643066406
2023-02-28,246.4998779296875
2023-03-01,243.3867645263672
2023-03-02,248.17010498046875
2023-03-03,252.3011474609375
2023-03-06,253.86268615722656
2023-03-07,251.1745147705078
2023-03-08,250.72975158691406
2023-03-09,249.365966796875
2023-03-10,245.67959594726562
2023-03-13,250.94720458984375
2023-03-14,257.73681640625
2023-03-15,262.3323669433594
2023-03-16,272.96636962890625
2023-03-17,276.1585693359375
2023-03-20,269.0428161621094
2023-03-21,270.5746765136719
2023-03-22,269.10211181640625
2023-03-23,274.4093017578125
2023-03-24,277.2851867675781
2023-03-27,273.1442565917969
2023-03-28,272.0077209472656
2023-03-29,277.2259216308594
2023-03-30,280.7244567871094
2023-03-31,284.9247131347656
2023-04-03,283.8672180175781
2023-04-04,283.81781005859375
2023-04-05,281.0110168457031
2023-04-06,288.1860656738281
2023-04-10,286.0019226074219
2023-04-11,279.51873779296875
2023-04-12,280.1710510253906
2023-04-13,286.4466552734375
2023-04-14,282.78997802734375
2023-04-17,285.4188232421875
2023-04-18,284.9938659667969
2023-04-19,285.07293701171875
2023-04-20,282.76031494140625
2023-04-21,282.4144287109375
2023-04-24,278.4711608886719
2023-04-25,272.1955261230469
2023-04-26,291.9118957519531
2023-04-27,301.26116943359375
2023-04-28,303.6627197265625
2023-05-01,301.9826354980469
2023-05-02,301.8343811035156
2023-05-03,300.836181640625
2023-05-04,301.8343811035156
2023-05-05,307.01300048828125
2023-05-08,305.03643798828125
2023-05-09,303.40576171875
2023-05-10,308.6535949707031
2023-05-11,306.4793395996094
2023-05-12,305.3526916503906
2023-05-15,305.8368835449219
2023-05-16,308.0902404785156
2023-05-17,311.002197265625
2023-05-18,315.4790344238281
2023-05-19,315.3007507324219
2023-05-22,318.1136474609375
2023-05-23,312.25018310546875
2023-05-24,310.8536376953125
2023-05-25,322.80841064453125
2023-05-26,329.7118835449219
2023-05-30,328.04791259765625
2023-05-31,325.25482177734375
2023-06-01,329.40478515625
2023-06-02,332.1978759765625
2023-06-05,332.7327575683594
2023-06-06,330.4942626953125
2023-06-07,320.2926330566406
2023-06-08,322.15472412109375
2023-06-09,323.67010498046875
2023-06-12,328.6817932128906
2023-06-13,331.0984802246094
2023-06-14,334.119384765625
2023-06-15,344.7766418457031
2023-06-16,339.0617370605469
2023-06-20,334.82257080078125
2023-06-21,330.37542724609375
2023-06-22,336.4667053222656
2023-06-23,331.821533203125
2023-06-26,325.46282958984375
2023-06-27,331.3758239746094
2023-06-28,332.64361572265625
2023-06-29,331.8512268066406
2023-06-30,337.288818359375
2023-07-03,334.76318359375
2023-07-05,334.921630859375
2023-07-06,338.0118713378906
2023-07-07,334.0005187988281
2023-07-10,328.66192626953125
2023-07-11,329.2958679199219
2023-07-12,333.980712890625
2023-07-13,339.3885803222656
2023-07-14,341.94390869140625
2023-07-17,342.42926025390625
2023-07-18,356.0578918457031
2023-07-19,351.6899719238281
2023-07-20,343.5583801269531
2023-07-21,340.48797607421875
2023-07-24,341.8151550292969
2023-07-25,347.629150390625
2023-07-26,334.5452575683594
2023-07-27,327.5625915527344
2023-07-28,335.1395263671875
2023-07-31,332.71295166015625
2023-08-01,333.1289367675781
2023-08-02,324.3733215332031
2023-08-03,323.5413818359375
2023-08-04,324.6506042480469
2023-08-07,326.95843505859375
2023-08-08,322.9371643066406
2023-08-09,319.15362548828125
2023-08-10,319.8468933105469
2023-08-11,317.9452819824219
2023-08-14,320.9463195800781
2023-08-15,318.7871398925781
2023-08-16,318.0129699707031
2023-08-17,314.51922607421875
2023-08-18,314.1221618652344
2023-08-21,319.4819641113281
2023-08-22,320.0576171875
2023-08-23,324.5638122558594
2023-08-24,317.586181640625
2023-08-25,320.57373046875
2023-08-28,321.28839111328125
2023-08-29,325.96331787109375
2023-08-30,326.3404541015625
2023-08-31,325.31817626953125
2023-09-01,326.2114562988281
2023-09-05,331.06500244140625
2023-09-06,330.4000244140625
2023-09-07,327.4521179199219
2023-09-08,331.77960205078125
2023-09-11,335.4223327636719
2023-09-12,329.2982482910156
2023-09-13,333.5563049316406
2023-09-14,336.1766357421875
2023-09-15,327.7597961425781
2023-09-18,326.6084289550781
2023-09-19,326.20147705078125
2023-09-20,318.3802185058594
2023-09-21,317.14947509765625
2023-09-22,314.64825439453125
2023-09-25,315.17431640625
2023-09-26,309.81451416015625
2023-09-27,310.45965576171875
2023-09-28,311.3033447265625
2023-09-29,313.3976135253906
