Date,Community 1,Community 2,Community 3
2010-09-14 00:00:00,189.19070542205637,134.3610132037407,165.6228292826646
2010-09-15 00:00:00,187.32013884833518,134.9245710795663,167.5328835317713
2010-09-16 00:00:00,189.86927894061455,133.61076410482673,168.33879577277332
2010-09-17 00:00:00,188.35058924740196,132.51857965390892,168.54028778726976
2010-09-20 00:00:00,190.9454706482844,133.16323753924536,172.86317897406158
2010-09-21 00:00:00,187.97934294000768,130.1714079093064,169.4097645076645
2010-09-22 00:00:00,190.6023149411916,133.78932931819486,175.57678454894014
2010-09-23 00:00:00,195.09884789895807,137.46460050349225,181.09459641709256
2010-09-24 00:00:00,195.41046997635794,136.38323626286382,179.33140021467378
2010-09-27 00:00:00,195.57644242403367,135.04805022589213,178.1623806988791
2010-09-28 00:00:00,197.3923080512649,136.51624885763786,184.382162605602
2010-09-29 00:00:00,194.28370972974156,133.6375980701048,180.10220191786559
2010-09-30 00:00:00,193.6222104411604,132.55915332997355,179.0578654923273
2010-10-01 00:00:00,190.74349864176835,129.91589941199624,174.46503267503775
2010-10-04 00:00:00,188.75804633090107,130.17155553783815,172.3858262982788
2010-10-05 00:00:00,189.6978500161678,129.9110419342948,174.11810528970034
2010-10-06 00:00:00,184.84609924769595,125.2448333019784,168.68953248361942
2010-10-07 00:00:00,182.7335113289226,124.73257049595583,165.8117420438903
2010-10-08 00:00:00,182.70487326434284,123.73504777322401,162.17733639101974
2010-10-11 00:00:00,180.03505297881134,121.14470818905858,157.74111093868197
2010-10-12 00:00:00,179.41914854554372,122.50316232875947,159.57477026509494
2010-10-13 00:00:00,176.12962371818116,118.32062506228563,154.5915077670582
2010-10-14 00:00:00,175.69201046658364,121.82341383745094,155.87478540773884
2010-10-15 00:00:00,177.70887116952173,123.79679959252378,156.6423914994928
2010-10-18 00:00:00,179.22604245066879,126.98113348445429,153.37641633521807
2010-10-19 00:00:00,179.31542564921955,124.73052287739799,154.4698625309948
2010-10-20 00:00:00,179.16846808018252,125.45879016544887,157.12710395770097
2010-10-21 00:00:00,176.56988957980724,121.92928326599979,150.59310322965865
2010-10-22 00:00:00,176.61898547117224,122.01490228008731,152.15514728805152
2010-10-25 00:00:00,176.11813892108486,118.55185338738747,148.16706099900148
2010-10-26 00:00:00,175.0374101997044,119.97380999307049,149.80993152162418
2010-10-27 00:00:00,176.48955616746468,121.23577601406559,152.9862490280362
2010-10-28 00:00:00,177.4454041483828,121.60417590666624,154.5135553449231
2010-10-29 00:00:00,176.79554348792547,122.38797016438996,158.04544219732495
2010-11-01 00:00:00,175.870800301842,120.04679716744357,159.47162309444838
2010-11-02 00:00:00,178.5008182821802,120.20386435108084,161.14518984396943
2010-11-03 00:00:00,176.59294018351926,118.4546662594356,163.62396044122798
2010-11-04 00:00:00,177.5823967235138,115.01365313283468,164.82188617964235
2010-11-05 00:00:00,177.58180749110988,114.21869546259843,166.81521024664704
2010-11-08 00:00:00,178.45714956228625,117.0479472217525,171.90518414588772
2010-11-09 00:00:00,181.24870038067326,116.09947153075287,172.2698860123998
2010-11-10 00:00:00,182.37037527907447,116.94772691822737,177.6081437283953
2010-11-11 00:00:00,185.61024200989038,119.05309913732945,183.41706902005797
2010-11-12 00:00:00,184.35972279542995,117.8255874109918,175.53720355217905
2010-11-15 00:00:00,184.2274150662179,116.80617825639214,170.18986603837274
2010-11-16 00:00:00,185.06971412564138,118.21097921467153,176.64368364884095
2010-11-17 00:00:00,184.37480728835843,117.77681848512282,173.74489502740178
2010-11-18 00:00:00,182.01003904132227,114.5178380964856,167.9568776626397
2010-11-19 00:00:00,184.97914099553313,115.5717984441323,172.50371581378326
2010-11-22 00:00:00,183.02426664574637,115.4576377767538,178.14666246018538
2010-11-23 00:00:00,188.91350011156092,118.3551279560475,188.44412108707783
2010-11-24 00:00:00,189.63247220280164,119.49642136609557,189.11833623586384
2010-11-25 00:00:00,190.47855634134652,120.7259570819794,193.98870581972716
2010-11-26 00:00:00,196.4544914526448,122.74489280061475,200.88749149190525
2010-11-29 00:00:00,199.17475584830024,123.15221347894864,208.4101849204906
2010-11-30 00:00:00,203.76500198766598,128.54159656550254,219.54371339549462
2010-12-01 00:00:00,200.47326290239306,121.74849019328404,200.7260589102224
2010-12-02 00:00:00,195.28619575864803,120.69384824602223,191.27225911197638
2010-12-03 00:00:00,191.02067059750033,117.60731762594769,184.50826692155348
2010-12-06 00:00:00,192.17198346252337,117.21981964472866,191.29758341829367
2010-12-07 00:00:00,191.1258867415066,113.61874556311867,185.84274707822578
2010-12-08 00:00:00,188.1685387142932,113.74020346326057,186.21691887633625
2010-12-09 00:00:00,189.117188986972,113.0956634837089,191.11107516757104
2010-12-10 00:00:00,193.85211084008557,114.38789529794965,197.83387266901252
2010-12-13 00:00:00,193.29053862067926,113.59296449116333,197.358643436731
2010-12-14 00:00:00,189.32776093955746,110.53543992281203,191.4557194869848
2010-12-15 00:00:00,186.76399772617063,110.35608081332475,190.05090124884612
2010-12-16 00:00:00,186.5339326344832,110.01651386799622,192.18224156811968
2010-12-17 00:00:00,189.52290062223608,110.38438920984147,198.43233883238642
2010-12-20 00:00:00,191.23356310261502,111.73802419155966,199.70691445638465
2010-12-21 00:00:00,191.57550026914538,112.16770133545229,203.2462827196936
2010-12-22 00:00:00,189.85171836883907,111.67087760551676,203.39043633604544
2010-12-23 00:00:00,189.80553226944906,111.3622842883972,202.07087701626767
2010-12-24 00:00:00,191.32963136068724,111.21232584085024,200.90112266858543
2010-12-27 00:00:00,189.89253034859527,110.88567509307451,200.89410813302808
