Date,GOOGL
2023-01-03,88.89987182617188
2023-01-04,87.86244201660156
2023-01-05,85.98707580566406
2023-01-06,87.12425994873047
2023-01-09,87.80258178710938
2023-01-10,88.20159912109375
2023-01-11,91.29393768310547
2023-01-12,90.90489959716797
2023-01-13,91.89246368408203
2023-01-17,91.06450653076172
2023-01-18,90.89493560791016
2023-01-19,92.8201675415039
2023-01-20,97.77787780761719
2023-01-23,99.54351806640625
2023-01-24,97.45867156982422
2023-01-25,94.98480224609375
2023-01-26,97.27911376953125
2023-01-27,99.12455749511719
2023-01-30,96.70055389404297
2023-01-31,98.59585571289062
2023-02-01,100.18193817138672
2023-02-02,107.473876953125
2023-02-03,104.52118682861328
2023-02-06,102.64583587646484
2023-02-07,107.3741226196289
2023-02-08,99.12455749511719
2023-02-09,94.77532196044922
2023-02-10,94.33641052246094
2023-02-13,94.37631225585938
2023-02-14,94.44613647460938
2023-02-15,96.70055389404297
2023-02-16,95.27408599853516
2023-02-17,94.11695098876953
2023-02-21,91.56327819824219
2023-02-22,91.42362213134766
2023-02-23,90.66549682617188
2023-02-24,88.90984344482422
2023-02-27,89.64801788330078
2023-02-28,89.8375473022461
2023-03-01,90.13681030273438
2023-03-02,91.77275848388672
2023-03-03,93.4186782836914
2023-03-06,94.89501953125
2023-03-07,93.62815856933594
2023-03-08,94.01719665527344
2023-03-09,92.09196472167969
2023-03-10,90.40613555908203
2023-03-13,90.88495635986328
2023-03-14,93.7378921508789
2023-03-15,95.87260437011719
2023-03-16,100.07220458984375
2023-03-17,101.3689956665039
2023-03-20,100.96998596191406
2023-03-21,104.66084289550781
2023-03-22,103.11466979980469
2023-03-23,105.33916473388672
2023-03-24,105.1795654296875
2023-03-27,102.20691680908203
2023-03-28,100.78045654296875
2023-03-29,101.13956451416016
2023-03-30,100.64080047607422
2023-03-31,103.47378540039062
2023-04-03,104.10222625732422
2023-04-04,104.46134185791016
2023-04-05,104.21195220947266
2023-04-06,108.1521987915039
2023-04-10,106.17709350585938
2023-04-11,105.08977508544922
2023-04-12,104.38153839111328
2023-04-13,107.16464233398438
2023-04-14,108.60108947753906
2023-04-17,105.708251953125
2023-04-18,104.24188232421875
2023-04-19,103.92266845703125
2023-04-20,105.0299301147461
2023-04-21,105.1496353149414
2023-04-24,105.708251953125
2023-04-25,103.5934829711914
2023-04-26,103.45382690429688
2023-04-27,107.3242416381836
2023-04-28,107.07486724853516
2023-05-01,106.93521118164062
2023-05-02,105.05985260009766
2023-05-03,105.1496353149414
2023-05-04,104.43141174316406
2023-05-05,105.30923461914062
2023-05-08,107.50379943847656
2023-05-09,107.0848388671875
2023-05-10,111.4739761352539
2023-05-11,116.28206634521484
2023-05-12,117.2197494506836
2023-05-15,116.22222137451172
2023-05-16,119.21480560302734
2023-05-17,120.54151916503906
2023-05-18,122.52660369873047
2023-05-19,122.45677947998047
2023-05-22,124.74111938476562
2023-05-23,122.25727081298828
2023-05-24,120.60137176513672
2023-05-25,123.17500305175781
2023-05-26,124.30220794677734
2023-05-30,123.3645248413086
2023-05-31,122.5665054321289
2023-06-01,123.4144058227539
2023-06-02,124.36205291748047
2023-06-05,125.6987533569336
2023-06-06,126.99553680419922
2023-06-07,122.19741821289062
