Date,GOOGL
2023-09-29,130.53677368164062
2023-10-02,133.83859252929688
2023-10-03,132.10289001464844
2023-10-04,134.9059600830078
2023-10-05,134.7363739013672
2023-10-06,137.2401580810547
2023-10-09,138.07809448242188
2023-10-10,137.71897888183594
2023-10-11,140.20285034179688
2023-10-12,138.62673950195312
2023-10-13,137.02072143554688
2023-10-16,138.75640869140625
2023-10-17,139.37489318847656
2023-10-18,137.61923217773438
2023-10-19,137.40975952148438
2023-10-20,135.2650604248047
2023-10-23,136.16282653808594
2023-10-24,138.46713256835938
2023-10-25,125.29973602294922
2023-10-26,121.97796630859375
2023-10-27,121.86823272705078
2023-10-30,124.15258026123047
2023-10-31,123.77352142333984
2023-11-01,126.13765716552734
2023-11-02,127.17509460449219
2023-11-03,128.7811279296875
2023-11-06,129.9282684326172
2023-11-07,130.64649963378906
2023-11-08,131.51434326171875
2023-11-09,129.91830444335938
2023-11-10,132.2624969482422
2023-11-13,131.7637176513672
2023-11-14,133.28994750976562
2023-11-15,134.28749084472656
2023-11-16,136.59176635742188
2023-11-17,134.9757843017578
2023-11-20,135.9134521484375
2023-11-21,136.6316680908203
2023-11-22,138.14791870117188
2023-11-24,136.3523712158203
2023-11-27,136.07305908203125
2023-11-28,136.86111450195312
2023-11-29,134.6565704345703
2023-11-30,132.20263671875
2023-12-01,131.5343017578125
2023-12-04,128.95069885253906
2023-12-05,130.6664581298828
2023-12-06,129.6988525390625
2023-12-07,136.59176635742188
2023-12-08,134.6565704345703
2023-12-11,132.96075439453125
2023-12-12,132.1926727294922
2023-12-13,132.2425537109375
2023-12-14,131.61410522460938
2023-12-15,132.27247619628906
2023-12-18,135.46456909179688
2023-12-19,136.3124542236328
2023-12-20,137.99827575683594
2023-12-21,140.07315063476562
2023-12-22,141.14051818847656
2023-12-26,141.17044067382812
2023-12-27,140.0232696533203
2023-12-28,139.8836212158203
2023-12-29,139.34495544433594
